experiment	timestamp	type	description	metric	baseline	result	status	notes
000_baseline	2026-03-11T00:00	baseline	Pre-optimization baseline (CPU, 200 sims, batch=8)	sims/sec	-	1594	keep	0.125s/move
001_lazy_expand	2026-03-11T00:01	code	Lazy expansion: defer get_next_state to first visit	sims/sec	1594	1594	keep	Already applied before baseline
002_suicide_fastpath	2026-03-11T00:02	code	Fast-path in _is_suicide: skip if any neighbor empty	sims/sec	1594	1894	keep	+19% speedup, 0.106s/move
003_mps_device	2026-03-11T00:03	code	MPS auto-detection for Apple Silicon GPU	sims/sec_mps	-	2913	keep	MPS batch=64 best
004_fpu_reduction	2026-03-11T00:04	algo	First Play Urgency: pessimistic unvisited children	depth	5.8	11.8	keep	Focuses search, depth doubled
005_weight_decay	2026-03-11T00:05	algo	L2 regularization (1e-4) in Adam optimizer	-	-	impl	keep	For next training run
006_eval_skip	2026-03-11T00:06	code	Configurable eval_games (skip vsRandom with 0)	iter_time	-	-	keep	Saves ~2.5min/iter on GPU
007_cosine_lr	2026-03-11T00:07	algo	Cosine LR schedule across training iterations	-	-	impl	keep	Validated locally
008_gpu_train	2026-03-11T00:08	train	50 iters × 100 games on A4000 (FPU+WD+lazy)	iter_time	31.6min	13.25min	running	2.4x speedup, W&B: absurd-water-6
009_tree_reuse	2026-03-11T00:09	algo	Reuse MCTS subtree between moves	sims/sec	1804	1713	discard	5% slower, overhead > benefit at 200 sims
010_cuda_batch	2026-03-11T00:10	bench	CUDA batch size sweep on A4000	sims/sec	1082(bs=8)	1794(bs=64)	keep	1.66x speedup, use batch=64 on CUDA
011_no_bn	2026-03-11T00:11	code	Optional batch norm removal	sims/sec	1864	2009	keep	+8% CPU, KataGo reports 1.6x GPU
012_global_pool	2026-03-11T00:12	arch	Global avg+max pooling in value head	-	-	impl	keep	Negligible speed cost, better value
013_cosine_lr	2026-03-11T00:13	algo	Cosine LR schedule (validated locally)	-	-	impl	keep	For long GPU runs
014_split_fpu	2026-03-11T00:14	algo	Root FPU 0.1 vs non-root 0.2 (KataGo)	-	-	impl	keep	Better root exploration
015_temp_decay	2026-03-11T00:15	algo	Exponential temp decay halflife=19	-	-	impl	keep	KataGo-style smooth decay
